"","Week","StationId","Hour","Weekday_bike_out","Weekend_bike_out"
"675","1",1028,"2",0,0
"676","1",1028,"3",0,0
"677","1",1028,"4",0,0
"678","1",1028,"5",1,0
"679","1",1028,"6",0,0
"680","1",1028,"7",1,0
"681","1",1028,"8",3,0
"682","1",1028,"9",0,0
"683","1",1028,"10",0,0
"684","1",1028,"11",3,1
"685","1",1028,"12",0,0
"686","1",1028,"13",8,0
"687","1",1028,"14",1,0
"688","1",1028,"15",1,0
"689","1",1028,"16",5,0
"690","1",1028,"17",0,1
"691","1",1028,"18",0,0
"692","1",1028,"19",1,0
"693","1",1028,"20",1,0
"694","1",1028,"21",0,0
"695","1",1028,"22",0,0
"696","1",1028,"23",0,0
"697","1",1029,"0",0,0
"698","1",1029,"1",0,0
"699","1",1029,"2",0,0
"700","1",1029,"3",0,0
"701","1",1029,"4",0,0
"702","1",1029,"5",1,0
"703","1",1029,"6",0,0
"704","1",1029,"7",1,0
"705","1",1029,"8",1,0
"706","1",1029,"9",2,0
"707","1",1029,"10",2,0
"708","1",1029,"11",2,0
"709","1",1029,"12",4,4
"710","1",1029,"13",0,2
"711","1",1029,"14",0,0
"712","1",1029,"15",4,0
"713","1",1029,"16",0,0
"714","1",1029,"17",0,2
"715","1",1029,"18",0,0
"716","1",1029,"19",0,2
"717","1",1029,"20",0,0
"718","1",1029,"21",0,0
"719","1",1029,"22",0,0
"720","1",1029,"23",0,0
"721","1",1030,"0",0,0
"722","1",1030,"1",0,0
"723","1",1030,"2",0,0
"724","1",1030,"3",0,0
"725","1",1030,"4",0,0
"726","1",1030,"5",0,0
"727","1",1030,"6",0,1
"728","1",1030,"7",0,0
"729","1",1030,"8",0,0
"730","1",1030,"9",0,0
"731","1",1030,"10",0,2
"732","1",1030,"11",0,0
"733","1",1030,"12",5,0
"734","1",1030,"13",0,0
"735","1",1030,"14",0,0
"736","1",1030,"15",4,0
"737","1",1030,"16",1,0
"738","1",1030,"17",1,0
"739","1",1030,"18",1,0
"740","1",1030,"19",1,0
"741","1",1030,"20",3,0
"742","1",1030,"21",0,0
"743","1",1030,"22",3,0
"744","1",1030,"23",0,0
"745","1",1031,"0",0,1
"746","1",1031,"1",0,1
"747","1",1031,"2",1,0
"748","1",1031,"3",1,0
"749","1",1031,"4",0,0
"750","1",1031,"5",0,0
"751","1",1031,"6",0,0
"752","1",1031,"7",0,0
