"","Week","StationId","WeatherRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"558","3",1039,"1",4.75,3.5,0,1.25,0
"559","3",1039,"2",0,0,0,0,0
"560","3",1039,"3",0,0,0,0,0
"561","3",1040,"0",4,2.66666666666667,0,1,0.333333333333333
"562","3",1040,"1",5.5,4.25,0,1,0.25
"563","3",1040,"2",0,0,0,0,0
"564","3",1040,"3",0,0,0,0,0
"565","3",1041,"0",12,5.66666666666667,0,6,0.333333333333333
"566","3",1041,"1",11,6.25,0,4.75,0
"567","3",1041,"2",0,0,0,0,0
"568","3",1041,"3",0,0,0,0,0
"569","3",1042,"0",0.333333333333333,0.333333333333333,0,0,0
"570","3",1042,"1",0.5,0.5,0,0,0
